ProductID,ProductName,Latest_Hotness,Peak_Hotness,Avg_Hotness,Latest_Trend,Peak_Search,Peak_Views,Demand_Score,Destination,HotelType Short,Region,Agoda Status,Ctrip Status,Revenue,B2B2C RN,Revenue Score,RN Score,Mapping Score,Business Score,Opportunity Score,Agoda Score,Ctrip Score,Revenue Score v2,RN Score v2,Mapping Score v2,Business Score v2,Opportunity Score v2,Opportunity Index,Commercial Rank,Priority,Action,Reason,Workflow Status,Owner,SLA,Business Impact
43886.0,Prachuap Beach Hotel,0.376186281233654,0.5101273721646371,0.40033469769311525,0.4931509541719971,44.0,67.0,35.4,Prachuapkhirikhan,KA,Lower South - West,Mapped,Mapped,1075538.0,722.0,16.61083051,24.31795217,100.0,35.6,17.8,100.0,100.0,16.61,24.32,100,22.68,0.0,26.89,116,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
5102159.0,Venus Resort,0.3884527327375385,0.4298680987704129,0.3790477443600848,0.4992719080767957,4.0,101.0,29.47,Buriram,LT,Lower Isan - Central,Not mapped,Not Mapped,19506.0,5.0,0.3012486208,0.168406871,0.0,0.2,9.44,0.0,0.0,0.3,0.17,0,6.1,6.1,26.88,117,High,Expand to Ctrip,Expand distribution to increase room nights.,To Do,Market Manager,72 Hours,Medium
437.0,Convenient Park Bangkok Sukhumvit,0.3924049961888077,0.4031922914370326,0.39550635660517197,0.5048948982029036,58.0,49.0,38.39,Bangkok,KA,BKK - Metro - Chon,Mapped,Mapped,1405363.0,190.0,21.70472359,6.399461098,100.0,32.77,16.385,100.0,100.0,21.7,6.4,100,20.45,0.0,26.79,118,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
5101720.0,L2 Premium,0.3979078140983829,0.4489908180058086,0.3798912779139093,0.4956824136444779,29.0,59.0,33.21,Khon Kaen,KA,Upper Isan - East,Mapped,Mapped,2011355.0,153.0,31.0637999,5.153250253,100.0,37.08,18.54,100.0,100.0,31.06,5.15,100,23.72,0.0,26.78,119,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
2004575.0,Ben Residence,0.2967754049202684,0.4355045146754995,0.36859761296408317,0.4989591998983589,8.0,32.0,24.38,Bangkok,KA,BKK - Metro - Chon,Mapped,Null,1746914.0,52.0,26.97970361,1.751431458,50.0,24.02,21.315,100.0,0.0,26.98,1.75,50,18.89,9.44,26.75,120,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
183307.0,The Canal 304 Hotel & Residence,0.4692967816413537,0.4735772052633389,0.3889909041460717,0.503856533421255,56.0,24.0,40.27,Prachin Buri,KA,Upper Isan - East,Mapped,Mapped,1058814.0,300.0,16.35254645,10.10441226,100.0,31.21,15.605,100.0,100.0,16.35,10.1,100,19.26,0.0,26.75,121,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4921227.0,The Pillows Boutique Hotel,0.4317537044394489,0.4670227709674991,0.44960828028828687,0.5000763005168513,54.0,62.0,39.51,Chiang Mai,KA,North,Mapped,Mapped,1139915.0,303.0,17.6050861,10.20545638,100.0,31.86,15.93,100.0,100.0,17.61,10.21,100,19.77,0.0,26.74,122,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
43856.0,Grand Pruksasiri Saraburi,0.3779044575078475,0.4505522843731057,0.3948015379954914,0.4898348113960314,40.0,21.0,33.19,Saraburi,KA,Lower Isan - Central,Mapped,Not Live,880181.0,26.0,13.59369992,0.8757157292,70.0,21.06,22.31,100.0,40.0,13.59,0.88,50,13.7,6.85,26.7,123,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4921158.0,Glory Boutique Suites,0.375936878157991,0.5683582048618459,0.46525330141859805,0.4910753515471505,56.0,108.0,38.93,Chiang Mai,KA,North,Mapped,Mapped,820829.0,593.0,12.6770549,19.9730549,100.0,32.33,16.165,100.0,100.0,12.68,19.97,100,20.12,0.0,26.65,124,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
23769.0,The Color Living Hotel,0.4342845154013161,0.4880985326586137,0.44306468657074455,0.498135921008863,45.0,36.0,37.04,Samut Prakan,KA,BKK - Metro - Chon,Mapped,Null,322104.0,112.0,4.974638125,3.77231391,50.0,13.62,23.545,100.0,0.0,4.97,3.77,50,11.02,5.51,26.61,125,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
5101726.0,Yoo Dee Mee Suk Apartment,0.3730508770097347,0.3825674115777899,0.34507243281837946,0.5064048297397903,14.0,6.0,27.91,Suphan Buri,KA,Lower Isan - Central,Not mapped,Null,82839.0,9.0,1.279385391,0.3031323678,0.0,0.73,10.825,0.0,0.0,1.28,0.3,0,6.31,6.31,26.59,126,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
183008.0,Southgate Residence Hotel Chumphon,0.3987171955363181,0.4949539746265491,0.4345991548165993,0.4978032174907988,62.0,54.0,39.42,Chumphon,KA,Upper South,Mapped,Mapped,1338745.0,126.0,20.67585459,4.243853149,100.0,31.61,15.805,100.0,100.0,20.68,4.24,100,19.5,0.0,26.55,127,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4921355.0,Shama Yen-akat Bangkok,0.4558537526392131,0.4640767943523969,0.4584588765353538,0.504724418107329,56.0,56.0,40.76,Bangkok,LT,BKK - Metro - Chon,Mapped,Null,28900.0,14.0,0.4463378801,0.4715392388,50.0,10.36,14.21,100.0,0.0,0.45,0.47,50,8.52,4.26,26.53,128,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
2000041.0,Rattanachol Hotel,0.422144680694276,0.4911076010116767,0.43001423453387494,0.4904081987369763,30.0,57.0,34.21,Chonburi,KA,BKK - Metro - Chon,Mapped,Mapped,1159315.0,686.0,17.90470366,23.1054227,100.0,35.88,17.94,100.0,100.0,17.9,23.11,100,22.72,0.0,26.53,129,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4857640.0,Fortune Saengchan Beach Rayong,0.4325291646624687,0.4879426027192144,0.4505888713504426,0.5002781840054449,41.0,23.0,35.84,Rayong,KA,Upper Isan - East,Mapped,Not Mapped,499585.0,47.0,7.71569447,1.583024587,50.0,14.33,16.445,100.0,0.0,7.72,1.58,50,11.5,5.75,26.51,130,High,Expand to Ctrip,Expand distribution to increase room nights.,To Do,Market Manager,72 Hours,Medium
