ProductID,ProductName,CheckInDate,booking_count
4596,Fortune River View Hotel Nakhon Phanom,"Jul 28, 2026, 12:00:00 AM",4
4884023,The Cottage Hotel Udon Thani,"Jul 15, 2026, 12:00:00 AM",1
2006010,The Xtreme Suites Hotel,"Nov 17, 2026, 12:00:00 AM",1
4918063,Thongchen Residence,"Jul 23, 2026, 12:00:00 AM",3
4883835,Blu Monkey Hub & Hotel Ranong,"Jul 28, 2026, 12:00:00 AM",3
1514,Windmill Resort Hotel,"Jul 3, 2026, 12:00:00 AM",1
5102402,Pranakorn Heritage Hotel,"Nov 11, 2026, 12:00:00 AM",1
1370,AVANI Khon Kaen Hotel & Convention Centre,"Jul 18, 2026, 12:00:00 AM",5
177901,Arden Hotel and Residence,"Nov 21, 2026, 12:00:00 AM",1
65581,Anna Nava Pakkret Hotel,"Sep 18, 2026, 12:00:00 AM",2
182835,Nadee 10 Resort & Hotel,"Aug 8, 2026, 12:00:00 AM",3
63889,Krabi Seabass Hotel,"Dec 22, 2026, 12:00:00 AM",1
317,Avana Hotel and Convention Center,"Jul 20, 2026, 12:00:00 AM",1
65457,Centric Place Hotel,"Dec 3, 2026, 12:00:00 AM",1
137995,Blu Monkey Hub & Hotel Phuket,"Sep 20, 2026, 12:00:00 AM",1
65458,Charoenchit House Khon Kaen,"Jul 23, 2026, 12:00:00 AM",1
43659,Cbd Hotel Suratthani,"Jul 19, 2026, 12:00:00 AM",1
23196,Mall Suites Hotel,"Jul 10, 2026, 12:00:00 AM",1
317,Avana Hotel and Convention Center,"Jul 23, 2026, 12:00:00 AM",2
1514,Windmill Resort Hotel,"Jul 23, 2026, 12:00:00 AM",3
4921194,The Neuf Ratchada,"Nov 20, 2026, 12:00:00 AM",1
500,La Petite Salil Sukhumvit Thonglor 1,"Jul 27, 2026, 12:00:00 AM",1
5102011,BB Hotel,"Jul 17, 2026, 12:00:00 AM",2
2005024,Veerasuda Condotel,"Jul 4, 2026, 12:00:00 AM",5
5101058,The Navy House Hotel,"Aug 8, 2026, 12:00:00 AM",5
4920796,Yothikran Place,"Jul 25, 2026, 12:00:00 AM",5
137991,Praso At Ratchada 12,"Jul 12, 2026, 12:00:00 AM",1
1844,Sunee Grand Hotel,"Aug 30, 2026, 12:00:00 AM",1
138021,PSG hotel,"Jul 6, 2026, 12:00:00 AM",1
25158,The Proud Exclusive Hotel,"Oct 24, 2026, 12:00:00 AM",5
4920890,The Finn Hotel,"Jul 19, 2026, 12:00:00 AM",1
2008959,Chernchan Hostel,"Aug 21, 2026, 12:00:00 AM",2
4920686,Mayuu Ayutthaya Hotel,"Jul 21, 2026, 12:00:00 AM",3
